date,named_storms,hurricanes,major_hurricanes,sst_anomaly,active_systems
2026-04-09,0,0,0,+0.36 °C,0
2026-04-10,0,0,0,+0.36 °C,0
2026-04-11,0,0,0,+0.36 °C,0
2026-04-12,0,0,0,+0.36 °C,0
2026-04-13,0,0,0,+0.36 °C,0
2026-04-14,0,0,0,+0.36 °C,0
2026-04-15,0,0,0,+0.36 °C,0
2026-04-16,0,0,0,+0.36 °C,0
2026-04-17,0,0,0,+0.36 °C,0
2026-04-18,0,0,0,+0.36 °C,0
2026-04-19,0,0,0,+0.36 °C,0
2026-04-20,0,0,0,+0.36 °C,0
2026-04-21,0,0,0,+0.36 °C,0
2026-04-22,0,0,0,+0.36 °C,0
2026-04-23,0,0,0,+0.36 °C,0
2026-04-24,0,0,0,+0.36 °C,0
2026-04-25,0,0,0,+0.36 °C,0
